facet,type,Exposed,Unexposed,Historical
Overall,HR Historical,"1.57 (1.38, 1.8)","1.2 (1.07, 1.35)","1 (1, 1)"
Overall,HR,"1 (1, 1)","0.76 (0.69, 0.85)","0.64 (0.56, 0.72)"
Overall,Burden per 1000,"37 (33.7, 40.4)","28.6 (27.2, 30.1)","24 (21.3, 26.6)"
Overall,Burden relative to Exposed,"0 (NA, NA)","-8.4 (-12.1, -4.7)","-13 (-17.3, -8.7)"
Female,HR Historical,"1.63 (1.37, 1.94)","1.22 (1.05, 1.42)","1 (1, 1)"
Female,HR,"1 (1, 1)","0.75 (0.66, 0.85)","0.61 (0.52, 0.73)"
Female,Burden per 1000,"33.2 (29.1, 37.2)","25.3 (23.6, 27)","20.9 (17.7, 24.1)"
Female,Burden relative to Exposed,"0 (NA, NA)","-7.9 (-12.2, -3.5)","-12.3 (-17.5, -7.1)"
Male,HR Historical,"1.45 (1.2, 1.76)","1.07 (0.91, 1.24)","1 (1, 1)"
Male,HR,"1 (1, 1)","0.73 (0.63, 0.86)","0.69 (0.57, 0.83)"
Male,Burden per 1000,"45.1 (38.9, 51.3)","33.4 (30.9, 36)","31.5 (26.9, 36)"
Male,Burden relative to Exposed,"0 (NA, NA)","-11.7 (-18.3, -5)","-13.6 (-21.3, -6)"
18 to 39,HR Historical,"1.12 (0.8, 1.57)","0.82 (0.62, 1.08)","1 (1, 1)"
18 to 39,HR,"1 (1, 1)","0.73 (0.54, 0.98)","0.89 (0.64, 1.25)"
18 to 39,Burden per 1000,"21.2 (14.8, 27.7)","15.6 (12.2, 19)","19 (13.7, 24.3)"
18 to 39,Burden relative to Exposed,"0 (NA, NA)","-5.7 (-13, 1.7)","-2.2 (-10.6, 6.1)"
40 to 64,HR Historical,"1.57 (1.33, 1.86)","1.17 (1.01, 1.35)","1 (1, 1)"
40 to 64,HR,"1 (1, 1)","0.75 (0.65, 0.85)","0.64 (0.54, 0.75)"
40 to 64,Burden per 1000,"45 (39.4, 50.6)","34 (31.6, 36.4)","29.2 (25, 33.5)"
40 to 64,Burden relative to Exposed,"0 (NA, NA)","-11 (-17.1, -4.9)","-15.7 (-22.8, -8.7)"
65 plus,HR Historical,"1.64 (1.29, 2.08)","1.21 (1, 1.47)","1 (1, 1)"
65 plus,HR,"1 (1, 1)","0.74 (0.62, 0.88)","0.61 (0.48, 0.77)"
65 plus,Burden per 1000,"36 (29, 43.1)","27 (23.5, 30.6)","22.3 (17.3, 27.4)"
65 plus,Burden relative to Exposed,"0 (NA, NA)","-9 (-16.9, -1.1)","-13.7 (-22.4, -5)"
Hispanic,HR Historical,"1.28 (0.81, 2.03)","1.22 (0.83, 1.8)","1 (1, 1)"
Hispanic,HR,"1 (1, 1)","0.96 (0.69, 1.33)","0.78 (0.49, 1.24)"
Hispanic,Burden per 1000,"31.3 (21.9, 40.8)","29.4 (25.1, 33.6)","24.1 (14.7, 33.6)"
Hispanic,Burden relative to Exposed,"0 (NA, NA)","-2 (-12.4, 8.4)","-7.2 (-20.6, 6.2)"
NH White,HR Historical,"1.5 (1.24, 1.82)","1.09 (0.93, 1.27)","1 (1, 1)"
NH White,HR,"1 (1, 1)","0.73 (0.62, 0.84)","0.67 (0.55, 0.81)"
NH White,Burden per 1000,"32.3 (27.6, 37)","23.9 (22.3, 25.6)","22 (18.6, 25.4)"
NH White,Burden relative to Exposed,"0 (NA, NA)","-8.4 (-13.4, -3.4)","-10.3 (-16.1, -4.5)"
NH Black,HR Historical,"1.73 (1.42, 2.11)","1.29 (1.08, 1.53)","1 (1, 1)"
NH Black,HR,"1 (1, 1)","0.74 (0.64, 0.87)","0.58 (0.47, 0.71)"
NH Black,Burden per 1000,"51.7 (44.8, 58.7)","39 (35.8, 42.3)","30.7 (25.6, 35.9)"
NH Black,Burden relative to Exposed,"0 (NA, NA)","-12.7 (-20.4, -5)","-21 (-29.7, -12.3)"
Not Hospitalized,HR Historical,"1.42 (1.22, 1.64)","1.09 (0.97, 1.23)","1 (1, 1)"
Not Hospitalized,HR,"1 (1, 1)","0.77 (0.68, 0.87)","0.71 (0.61, 0.82)"
Not Hospitalized,Burden per 1000,"34.4 (30.6, 38.2)","26.8 (25.2, 28.5)","24.7 (21.8, 27.6)"
Not Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-7.6 (-11.7, -3.4)","-9.7 (-14.5, -4.9)"
Hospitalized,HR Historical,"1.92 (1.33, 2.75)","1.28 (0.91, 1.8)","1 (1, 1)"
Hospitalized,HR,"1 (1, 1)","0.67 (0.56, 0.8)","0.52 (0.36, 0.75)"
Hospitalized,Burden per 1000,"45.6 (38.3, 52.9)","31.1 (28.4, 33.7)","24.3 (15.9, 32.6)"
Hospitalized,Burden relative to Exposed,"0 (NA, NA)","-14.5 (-22.3, -6.8)","-21.3 (-32.4, -10.2)"
NA,Burden relative to Exposed,"0 (NA, NA)","-7 (-10.7, -3.3)","-10.6 (-15.1, -6)"
